Company Name,Website URL
AEGIS Managing Agency Limited,http://www.aegislink.com
Allied World Managing Agency Limited,http://www.awac.com
Alpha Insurance Analysts Limited,http://www.aianalysts.com
Antares Managing Agency Limited,http://www.antaresunderwriting.com/
Apollo Syndicate Management Limited,http://www.apollounderwriting.com
Arch Managing Agency Limited,http://www.archinsurance.co.uk/
Argenta Private Capital Limited,https://www.argentagroup.com/investing-at-lloyds
Argenta Syndicate Management Limited,https://www.argentagroup.com/investing-at-lloyds
Ark Syndicate Management Limited,http://www.arkunderwriting.com
Ascot Underwriting Limited,http://www.ascotuw.com
Aspen Managing Agency Limited,http://www.aspen-re.com
Asta Managing Agency Limited,http://www.asta-uk.com
Atrium Underwriters Limited,http://www.atrium-uw.com/
AXA XL Underwriting Agencies Limited,http://www.axaxl.com
Axis Managing Agency Ltd,http://www.axiscapital.com/en-us/insurance/international/axis-at-lloyds/syndicate-1686
Beazley Furlonge Limited,http://www.beazley.com
Blenheim Underwriting Limited,https://www.blenheimuw.com/
Brit Syndicates Limited,http://www.britinsurance.com
Canopius Managing Agents Limited,http://www.canopius.com
Chaucer Syndicates Limited,http://www.chaucerplc.com
Chubb Underwriting Agencies Limited,http://www.chubb.com
Cincinnati Global Underwriting Agency Limited,http://www.cinfinglobal.com/
CNA Hardy,http://www.cnahardy.com/
Dale Managing Agency Limited,http://www.daleuw.com/
Enstar Managing Agency Limited,https://www.enstargroup.com/
Everest Managing Agency Limited,https://www.everestglobal.com/gb-en
Faraday Underwriting Limited,http://www.faraday.com
Hamilton Managing Agency Limited,http://www.hamiltongroup.com/hamilton-lloyds/
Hampden Agencies Limited,http://www.hampden.co.uk
Hartford Underwriting Agency Limited,http://www.navg.com
HCC Underwriting Agency Ltd,http://www.hcc.com/About/OperatingCompanies/UnderwritingAgencies/HCCUnderwritingAgencyLtdHCCUA/tabid/176/Default.aspx
Hiscox Syndicates Limited,http://www.hiscoxlondonmarket.com
Inigo Managing Agent Limited,https://inigoinsurance.com/
IQUW Syndicate Management Limited,https://iquw.com/
Lancashire Syndicates Limited,http://www.cathedralcapital.com
Liberty Managing Agency Limited,http://www.libertysyndicates.com
Lime Syndicate Management Limited,https://www.limesma.com/
Managing Agency Partners Limited,http://www.mapunderwriting.co.uk
Markel Syndicate Management Limited,https://www.markel.com/international
MS Amlin Underwriting Limited,https://www.msamlin.com/en/index.html
Munich Re Syndicate Limited,http://www.watkins-syndicate.co.uk
Nephila Syndicate Management Limited,http://www.nephila.com/syndicate
Newline Underwriting Management Limited,http://www.newlinegroup.com
Polo Managing Agency Limited,https://polo.works/
Premia Managing Agency Limited,http://www.ctplc.com/insurance-support-services/charles-taylor-managing-agency/
Probitas Managing Agency Limited,https://probitas1492.com/
QBE Underwriting Limited,http://www.qbeeurope.com
RenaissanceRe Syndicate Management Limited,http://www.renre.com/lloyds
RiverStone Managing Agency,http://www.rsml.co.uk
S.A. Meacock & Company Limited,http://www.lloyds.com/the-market/business-timetable/capacity-auctions/disclosures/2013/10/sa-meacock-and-co-ltd-d2013018
SCOR Managing Agency Ltd,http://www.channel2015.com
Sirius International Managing Agency Limited,http://www.siriusgroup.com
Starr Managing Agents Limited,http://www.starrcompanies.com/
Statera Managing Agency Limited,
Talbot Underwriting Ltd,http://www.talbotuw.com
Tokio Marine Kiln Syndicates Limited,https://www.tmkiln.com/
Travelers Syndicate Management Limited,http://www.travelers.co.uk/lloyds
W R Berkley Syndicate Management Limited,http://www.wrbsyndicate.com
Westfield Specialty Managing Agency Ltd,https://www.westfieldspecialty.com/
