Company Name,Company Number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,ch_status,ch_address,ch_sic_codes,ch_latest_accounts,ch_active_officers,monitoring_status
PAMIA LIMITED,2418817,Active,Private limited by guarantee without share capital,,,1989-08-31,,,65120,90 Fenchurch Street London EC3M 4ST,active,"90 Fenchurch Street, London, EC3M 4ST",65120,2025-06-30,23,Pending Review
BAR MUTUAL INDEMNITY FUND LIMITED,2182018,Active,Private limited by guarantee without share capital,,,1987-10-21,,,65120,90 Fenchurch Street London EC3M 4ST,active,"90 Fenchurch Street, London, EC3M 4ST",65120,2025-03-31,22,Pending Review
INTERNATIONAL UNDERWRITING ASSOCIATION OF LONDON LIMITED,1244052,Active,Private limited by guarantee without share capital,,,1976-02-11,,,65120,1 Minster Court London EC3R 7AA England,active,"1 Minster Court, London, EC3R 7AA, England",65120,2024-12-31,20,Pending Review
THE UNITED KINGDOM FREIGHT DEMURRAGE AND DEFENCE ASSOCIATION LIMITED,501877,Active,Private limited by guarantee without share capital,,,1951-11-30,,,65120,90 Fenchurch Street London EC3M 4ST,active,"90 Fenchurch Street, London, EC3M 4ST",65120,2025-02-20,18,Pending Review
ROTHESAY LIFE PLC,6127279,Active,Public limited company,,,2007-02-26,,,65110,The Post Building 100 Museum Street London WC1A 1PB United Kingdom,active,"The Post Building, 100 Museum Street, London, WC1A 1PB, United Kingdom",65110,2025-12-31,17,Pending Review
NORTHSTANDARD LIMITED,505456,Active,Private limited by guarantee without share capital,,,1952-03-14,,,65120,100 The Quayside Newcastle Upon Tyne NE1 3DU England,active,"100 The Quayside, Newcastle Upon Tyne, NE1 3DU, England",65120,2025-02-20,16,Pending Review
VITALITY CORPORATE SERVICES LIMITED,5933141,Active,Private limited company,,,2006-09-12,,,65120,3 More London Riverside London SE1 2AQ,active,"3 More London Riverside, London, SE1 2AQ",65120,2025-06-30,16,Pending Review
HOWDEN GROUP HOLDINGS LIMITED,2937398,Active,Private limited company,,,1994-06-09,,,65120 70100,One Creechurch Place London EC3A 5AF United Kingdom,active,"One Creechurch Place, London, EC3A 5AF, United Kingdom","65120, 70100",2024-09-30,15,Pending Review
HCC UNDERWRITING AGENCY LTD,4632146,Active,Private limited company,,,2003-01-09,,,66220,The St Botolph Building 138 Houndsditch London EC3A 7BT United Kingdom,active,"The St Botolph Building, 138 Houndsditch, London, EC3A 7BT, United Kingdom",66220,2024-12-31,15,Pending Review
BRITANNIA STEAM SHIP INSURANCE ASSOCIATION LIMITED(THE),10340,Active,Private limited by guarantee without share capital,,,1876-02-19,,,65120,33 King William Street London EC4R 9AT England,active,"33 King William Street, London, EC4R 9AT, England",65120,2025-02-20,15,Pending Review
THE BRITANNIA STEAM SHIP INSURANCE ASSOCIATION HOLDINGS LIMITED,11686576,Active,Private limited by guarantee without share capital,,,2018-11-20,,,65120,33 King William Street London EC4R 9AT England,active,"33 King William Street, London, EC4R 9AT, England",65120,2025-02-20,15,Pending Review
INTERNATIONAL TRANSPORT INTERMEDIARIES CLUB LIMITED,2725312,Active,Private limited by guarantee without share capital,,,1992-06-18,,,65120,90 Fenchurch Street London EC3M 4ST,active,"90 Fenchurch Street, London, EC3M 4ST",65120,2025-05-31,15,Pending Review
WESTERN PROVIDENT ASSOCIATION LIMITED,475557,Active,Private limited by guarantee without share capital,,,1949-12-01,,,65120,Rivergate House Blackbrook Park Taunton TA1 2PE,active,"Rivergate House, Blackbrook Park, Taunton, Somerset, TA1 2PE",65120,2025-12-31,15,Pending Review
HCC INTERNATIONAL INSURANCE COMPANY PLC,1575839,Active,Public limited company,,,1981-07-22,,,65120,The St Botolph Building 138 Houndsditch London EC3A 7BT United Kingdom,active,"The St Botolph Building, 138 Houndsditch, London, EC3A 7BT, United Kingdom",65120,2025-12-31,15,Pending Review
