lloyds_name,lloyds_url,matched_firm_name,matched_ch_number,match_score,confidence
AEGIS Managing Agency Limited,http://www.aegislink.com,AEGIS MANAGING AGENCY LIMITED,3413859,100.0,High
Alpha Insurance Analysts Limited,http://www.aianalysts.com,ALPHA INSURANCE ANALYSTS LTD.,2915929,100.0,High
Antares Managing Agency Limited,http://www.antaresunderwriting.com/,ANTARES GLOBAL MANAGEMENT LIMITED,2676622,100.0,High
Apollo Syndicate Management Limited,http://www.apollounderwriting.com,APOLLO SYNDICATE MANAGEMENT LIMITED,9181578,100.0,High
Arch Managing Agency Limited,http://www.archinsurance.co.uk/,ARCH MANAGING AGENCY LIMITED,6948515,100.0,High
Argenta Syndicate Management Limited,https://www.argentagroup.com/investing-at-lloyds,ARGENTA SYNDICATE MANAGEMENT LIMITED,3632880,100.0,High
Ark Syndicate Management Limited,http://www.arkunderwriting.com,ARK SYNDICATE MANAGEMENT LIMITED,5887810,100.0,High
Ascot Underwriting Limited,http://www.ascotuw.com,ASCOT UNDERWRITING LIMITED,4098461,100.0,High
Aspen Managing Agency Limited,http://www.aspen-re.com,ASPEN MANAGING AGENCY LIMITED,6459521,100.0,High
Asta Managing Agency Limited,http://www.asta-uk.com,ASTA MANAGING AGENCY LTD,1918744,100.0,High
Atrium Underwriters Limited,http://www.atrium-uw.com/,ATRIUM UNDERWRITERS LIMITED,1958863,100.0,High
AXA XL Underwriting Agencies Limited,http://www.axaxl.com,AXA XL UNDERWRITING AGENCIES LIMITED,1815126,100.0,High
Beazley Furlonge Limited,http://www.beazley.com,BEAZLEY FURLONGE LIMITED,1893407,100.0,High
Blenheim Underwriting Limited,https://www.blenheimuw.com/,BLENHEIM UNDERWRITING LIMITED,10254215,100.0,High
Brit Syndicates Limited,http://www.britinsurance.com,BRIT SYNDICATES LIMITED,824611,100.0,High
Chaucer Syndicates Limited,http://www.chaucerplc.com,CHAUCER SYNDICATES LIMITED,184915,100.0,High
Cincinnati Global Underwriting Agency Limited,http://www.cinfinglobal.com/,CINCINNATI GLOBAL UNDERWRITING AGENCY LIMITED,4039137,100.0,High
Dale Managing Agency Limited,http://www.daleuw.com/,DALE MANAGING AGENCY LIMITED,13526063,100.0,High
Enstar Managing Agency Limited,https://www.enstargroup.com/,ENSTAR MANAGING AGENCY LIMITED,10595512,100.0,High
Everest Managing Agency Limited,https://www.everestglobal.com/gb-en,EVEREST MANAGING AGENCY LIMITED,15804887,100.0,High
Faraday Underwriting Limited,http://www.faraday.com,FARADAY MGA LIMITED,10955079,100.0,High
Hamilton Managing Agency Limited,http://www.hamiltongroup.com/hamilton-lloyds/,HAMILTON MANAGING AGENCY LIMITED,5832065,100.0,High
Hampden Agencies Limited,http://www.hampden.co.uk,HAMPDEN AGENCIES LIMITED,2970319,100.0,High
Hartford Underwriting Agency Limited,http://www.navg.com,HARTFORD UNDERWRITING AGENCY LIMITED,1380715,100.0,High
HCC Underwriting Agency Ltd,http://www.hcc.com/About/OperatingCompanies/UnderwritingAgencies/HCCUnderwritingAgencyLtdHCCUA/tabid/176/Default.aspx,HCC UNDERWRITING AGENCY LTD,4632146,100.0,High
Hiscox Syndicates Limited,http://www.hiscoxlondonmarket.com,HISCOX SYNDICATES LIMITED,2590623,100.0,High
Inigo Managing Agent Limited,https://inigoinsurance.com/,INIGO LIMITED,12764745,100.0,High
IQUW Syndicate Management Limited,https://iquw.com/,IQUW SYNDICATE MANAGEMENT LIMITED,426475,100.0,High
Lancashire Syndicates Limited,http://www.cathedralcapital.com,LANCASHIRE SYNDICATES LIMITED,292093,100.0,High
Liberty Managing Agency Limited,http://www.libertysyndicates.com,LIBERTY MANAGING AGENCY LIMITED,3003606,100.0,High
Managing Agency Partners Limited,http://www.mapunderwriting.co.uk,MANAGING AGENCY PARTNERS LIMITED,3985640,100.0,High
Markel Syndicate Management Limited,https://www.markel.com/international,MARKEL SYNDICATE MANAGEMENT LIMITED,3114590,100.0,High
MS Amlin Underwriting Limited,https://www.msamlin.com/en/index.html,MS AMLIN UNDERWRITING LIMITED,2323018,100.0,High
Munich Re Syndicate Limited,http://www.watkins-syndicate.co.uk,MUNICH RE SYNDICATE LIMITED,1328742,100.0,High
Newline Underwriting Management Limited,http://www.newlinegroup.com,NEWLINE UNDERWRITING MANAGEMENT LIMITED,3223686,100.0,High
Polo Managing Agency Limited,https://polo.works/,POLO MANAGING AGENCY LIMITED,3935227,100.0,High
Probitas Managing Agency Limited,https://probitas1492.com/,PROBITAS MANAGING AGENCY LIMITED,12242600,100.0,High
QBE Underwriting Limited,http://www.qbeeurope.com,QBE UNDERWRITING LIMITED,1035198,100.0,High
RenaissanceRe Syndicate Management Limited,http://www.renre.com/lloyds,RENAISSANCERE SYNDICATE MANAGEMENT LIMITED,1120384,100.0,High
RiverStone Managing Agency,http://www.rsml.co.uk,RIVERSTONE INSURANCE (UK) LIMITED,1167327,100.0,High
S.A. Meacock & Company Limited,http://www.lloyds.com/the-market/business-timetable/capacity-auctions/disclosures/2013/10/sa-meacock-and-co-ltd-d2013018,MEACOCK UNDERWRITING LIMITED,3600207,100.0,High
SCOR Managing Agency Ltd,http://www.channel2015.com,SCOR MANAGING AGENCY LTD,8614385,100.0,High
Starr Managing Agents Limited,http://www.starrcompanies.com/,STARR MANAGING AGENTS LIMITED,6265337,100.0,High
Talbot Underwriting Ltd,http://www.talbotuw.com,TALBOT UNDERWRITING LTD,2202362,100.0,High
Tokio Marine Kiln Syndicates Limited,https://www.tmkiln.com/,TOKIO MARINE KILN SYNDICATES LIMITED,729671,100.0,High
Travelers Syndicate Management Limited,http://www.travelers.co.uk/lloyds,TRAVELERS SYNDICATE MANAGEMENT LIMITED,3207530,100.0,High
Westfield Specialty Managing Agency Ltd,https://www.westfieldspecialty.com/,WESTFIELD SPECIALTY MANAGING AGENCY LTD,3768610,100.0,High
Lime Syndicate Management Limited,https://www.limesma.com/,NEWLINE UNDERWRITING MANAGEMENT LIMITED,3223686,84.8,Medium
Sirius International Managing Agency Limited,http://www.siriusgroup.com,DUAL INTERNATIONAL LIMITED,3540129,83.9,Medium
Canopius Managing Agents Limited,http://www.canopius.com,STARR MANAGING AGENTS LIMITED,6265337,83.3,Medium
Nephila Syndicate Management Limited,http://www.nephila.com/syndicate,ARK SYNDICATE MANAGEMENT LIMITED,5887810,83.3,Medium
W R Berkley Syndicate Management Limited,http://www.wrbsyndicate.com,ARK SYNDICATE MANAGEMENT LIMITED,5887810,83.3,Medium
Argenta Private Capital Limited,https://www.argentagroup.com/investing-at-lloyds,MAP CAPITAL LIMITED,3985544,77.8,Medium
Chubb Underwriting Agencies Limited,http://www.chubb.com,AXA XL UNDERWRITING AGENCIES LIMITED,1815126,72.7,Medium
Premia Managing Agency Limited,http://www.ctplc.com/insurance-support-services/charles-taylor-managing-agency/,PAMIA LIMITED,2418817,72.7,Medium
CNA Hardy,http://www.cnahardy.com/,HARDY (UNDERWRITING AGENCIES) LIMITED,1264271,71.4,Medium
Statera Managing Agency Limited,,SOTERIA INSURANCE LIMITED,12698289,71.4,Medium
Axis Managing Agency Ltd,http://www.axiscapital.com/en-us/insurance/international/axis-at-lloyds/syndicate-1686,AEGIS MANAGING AGENCY LIMITED,3413859,66.7,Low
Allied World Managing Agency Limited,http://www.awac.com,ALL SPORT INSURANCE SERVICES LIMITED,9897561,53.3,Low
