change_type,company_number,company_name,officer_name,officer_role,appointed_on,resigned_on,date_detected
Resignation,01507274,MARSH LIMITED,"BOYCE, James",director,2019-11-28,2026-05-20,2026-06-01
Resignation,01507274,MARSH LIMITED,"BRIGHTON, Alistair",director,2025-03-07,2026-05-20,2026-06-01
New Appointment,00613259,COVEA INSURANCE PLC,"CARRAUD, Laure Anne Lucie",director,2026-06-01,,2026-06-01
New Appointment,00354568,AGEAS INSURANCE LIMITED,"ANDREWS, Annette Catherine",director,2026-05-08,,2026-06-01
Resignation,06582775,PARETO FINANCIAL PLANNING LIMITED,"ASPRAY, Nicola Jane",director,2021-02-20,2026-06-01,2026-06-01
Resignation,04039137,CINCINNATI GLOBAL UNDERWRITING AGENCY LIMITED,"PEXTON, Richard Anthony",director,2016-05-05,2026-05-31,2026-06-01
Resignation,03362483,ROMERO INSURANCE BROKERS LIMITED,"MABB, Simon Thomas William",director,2008-07-01,2026-06-01,2026-06-01
Resignation,03362483,ROMERO INSURANCE BROKERS LIMITED,"ROMERO TRIGO, Victoria Anne",director,2006-02-01,2026-06-01,2026-06-01
Resignation,03535054,CLUB INSURE LIMITED,"MABB, Simon Thomas William",director,2013-03-01,2026-06-01,2026-06-01
Resignation,03535054,CLUB INSURE LIMITED,"ROMERO TRIGO, Victoria Anne",director,2001-01-02,2026-06-01,2026-06-01
Resignation,02575623,CIRCLE INSURANCE SERVICES LIMITED,"JONES, Peter Derek",director,2007-08-30,2026-05-31,2026-06-01
Resignation,13422679,FEC MUTUAL LIMITED,"BARYAH, Narinder Singh",director,2024-12-09,2026-05-31,2026-06-01
